id,sentence,annotator1_entities,annotator2_entities,notes
115,స్వాతి మాలివాల్ ఆమ్ ఆద్మీ పార్టీ రాజ్యసభ సభ్యురాలు,"స్వాతి మాలివాల్=PER, ఆమ్ ఆద్మీ పార్టీ=ORG","స్వాతి మాలివాల్=PER, ఆమ్ ఆద్మీ పార్టీ=ORG",Clear PER and ORG
116,కోల్కతా నైట్ రైడర్స్ ఐపీఎల్ జట్టు కోల్కతాకు చెందినది,"కోల్కతా నైట్ రైడర్స్=ORG, కోల్కతా=LOC","కోల్కతా నైట్ రైడర్స్=ORG, కోల్కతా=LOC",Clear ORG and LOC
117,రాజేంద్ర ప్రసాద్ భారత తొలి రాష్ట్రపతి,"రాజేంద్ర ప్రసాద్=PER, భారత=LOC",రాజేంద్ర ప్రసాద్=PER,Disagreement: భారత as LOC or not
118,వెదాంత యూనివర్సిటీ ఒడిశాలో నిర్మించాలని ప్రతిపాదించారు,"వెదాంత యూనివర్సిటీ=ORG, ఒడిశా=LOC","వెదాంత యూనివర్సిటీ=ORG, ఒడిశా=LOC",Clear ORG and LOC
119,ప్రకాశ్ జావడేకర్ బీజేపీ నాయకుడు,"ప్రకాశ్ జావడేకర్=PER, బీజేపీ=ORG","ప్రకాశ్ జావడేకర్=PER, బీజేపీ=ORG",Clear PER and ORG
120,ముంబై ఇండియన్స్ ఐపీఎల్ లో అత్యంత విజయవంతమైన జట్టు,"ముంబై ఇండియన్స్=ORG, ముంబై=LOC",ముంబై ఇండియన్స్=ORG,Disagreement: ముంబై as LOC separately or only part of ORG
121,శివరాజ్ సింగ్ చౌహాన్ మధ్యప్రదేశ్ ముఖ్యమంత్రి,"శివరాజ్ సింగ్ చౌహాన్=PER, మధ్యప్రదేశ్=LOC","శివరాజ్ సింగ్ చౌహాన్=PER, మధ్యప్రదేశ్=LOC",Clear PER and LOC
122,ఎన్టీపీసీ ఢిల్లీ లో ప్రధాన కార్యాలయం కలిగి ఉంది,"ఎన్టీపీసీ=ORG, ఢిల్లీ=LOC","ఎన్టీపీసీ=ORG, ఢిల్లీ=LOC",Abbreviation as ORG
123,మేరీ కోమ్ మణిపూర్ కు చెందిన బాక్సర్,"మేరీ కోమ్=PER, మణిపూర్=LOC","మేరీ కోమ్=PER, మణిపూర్=LOC",Clear PER and LOC
124,హైదరాబాద్ ఫుట్ బాల్ క్లబ్ ఐ లీగ్ లో పాల్గొంటుంది,"హైదరాబాద్ ఫుట్ బాల్ క్లబ్=ORG, హైదరాబాద్=LOC","హైదరాబాద్ ఫుట్ బాల్ క్లబ్=ORG, హైదరాబాద్=LOC",Disagreement: హైదరాబాద్ as LOC separately or in ORG
125,అరుణ్ జైట్లీ బీజేపీ నేత మరియు మాజీ ఆర్థిక మంత్రి,"అరుణ్ జైట్లీ=PER, బీజేపీ=ORG","అరుణ్ జైట్లీ=PER, బీజేపీ=ORG",Clear PER and ORG
126,ఐఐటీ బాంబే ముంబైలో ఉంది,"ఐఐటీ బాంబే=ORG, ముంబై=LOC","ఐఐటీ బాంబే=ORG, ముంబై=LOC",Clear ORG and LOC
127,భగత్ సింగ్ పంజాబ్ లో జన్మించిన స్వాతంత్ర్య సమరయోధుడు,"భగత్ సింగ్=PER, పంజాబ్=LOC","భగత్ సింగ్=PER, పంజాబ్=LOC",Clear PER and LOC
128,మారుతి సుజుకి గుర్గావ్ లో కార్లు తయారు చేస్తుంది,"మారుతి సుజుకి=ORG, గుర్గావ్=LOC","మారుతి సుజుకి=ORG, గుర్గావ్=LOC",Clear ORG and LOC
129,నజ్మా హెప్తుల్లా కాంగ్రెస్ మరియు బీజేపీలో పనిచేశారు,"నజ్మా హెప్తుల్లా=PER, కాంగ్రెస్=ORG, బీజేపీ=ORG","నజ్మా హెప్తుల్లా=PER, కాంగ్రెస్=ORG, బీజేపీ=ORG",PER with two ORG
130,ఇండియన్ ఆయిల్ కార్పొరేషన్ ఢిల్లీ లో ఉంది,"ఇండియన్ ఆయిల్ కార్పొరేషన్=ORG, ఢిల్లీ=LOC","ఇండియన్ ఆయిల్ కార్పొరేషన్=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
131,అభినవ్ బింద్రా ఒలింపిక్ స్వర్ణ పతకం గెలిచారు,అభినవ్ బింద్రా=PER,అభినవ్ బింద్రా=PER,"Only PER, no LOC or ORG"
132,జవహర్లాల్ నెహ్రూ విశ్వవిద్యాలయం ఢిల్లీ లో ఉంది,"జవహర్లాల్ నెహ్రూ విశ్వవిద్యాలయం=ORG, ఢిల్లీ=LOC","జవహర్లాల్ నెహ్రూ విశ్వవిద్యాలయం=ORG, ఢిల్లీ=LOC",University name as ORG
133,ఎం కె స్టాలిన్ తమిళనాడు ముఖ్యమంత్రి,"ఎం కె స్టాలిన్=PER, తమిళనాడు=LOC","ఎం కె స్టాలిన్=PER, తమిళనాడు=LOC",Clear PER and LOC
134,భారత స్టేట్ బ్యాంక్ ఖాతాదారులు దేశవ్యాప్తంగా ఉన్నారు,భారత స్టేట్ బ్యాంక్=ORG,భారత స్టేట్ బ్యాంక్=ORG,Only ORG
135,లాల్ బహదూర్ శాస్త్రి భారత రెండో ప్రధానమంత్రి,"లాల్ బహదూర్ శాస్త్రి=PER, భారత=LOC",లాల్ బహదూర్ శాస్త్రి=PER,Disagreement: భారత as LOC or not
136,ఒంగోల్ ఆంధ్రప్రదేశ్ లోని ప్రకాశం జిల్లా కేంద్రం,"ఒంగోల్=LOC, ఆంధ్రప్రదేశ్=LOC, ప్రకాశం=LOC","ఒంగోల్=LOC, ఆంధ్రప్రదేశ్=LOC, ప్రకాశం=LOC",Three LOC entities
137,అక్షయ్ కుమార్ బాలీవుడ్ నటుడు,అక్షయ్ కుమార్=PER,అక్షయ్ కుమార్=PER,Only PER
138,ఇండిగో ఎయిర్ లైన్స్ ఢిల్లీ నుండి నిర్వహిస్తుంది,"ఇండిగో=ORG, ఢిల్లీ=LOC","ఇండిగో=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
139,ఉమర్ అబ్దుల్లా జమ్మూ కాశ్మీర్ ముఖ్యమంత్రి,"ఉమర్ అబ్దుల్లా=PER, జమ్మూ కాశ్మీర్=LOC","ఉమర్ అబ్దుల్లా=PER, జమ్మూ కాశ్మీర్=LOC",Clear PER and LOC
140,సన్ ఫార్మా సంస్థ ముంబైలో నమోదైంది,"సన్ ఫార్మా=ORG, ముంబై=LOC","సన్ ఫార్మా=ORG, ముంబై=LOC",Clear ORG and LOC
141,జీ రాం ప్రసాద్ బిస్మిల్ లఖ్నవ్ లో ఉరితీయబడ్డారు,"జీ రాం ప్రసాద్ బిస్మిల్=PER, లఖ్నవ్=LOC","జీ రాం ప్రసాద్ బిస్మిల్=PER, లఖ్నవ్=LOC",Clear PER and LOC
142,జిందాల్ పవర్ ఛత్తీస్ గఢ్ లో విద్యుత్ ఉత్పత్తి చేస్తుంది,"జిందాల్ పవర్=ORG, ఛత్తీస్ గఢ్=LOC","జిందాల్ పవర్=ORG, ఛత్తీస్ గఢ్=LOC",Clear ORG and LOC
143,గీతా ఫోగట్ హరియాణా కు చెందిన రెజ్లర్,"గీతా ఫోగట్=PER, హరియాణా=LOC","గీతా ఫోగట్=PER, హరియాణా=LOC",Clear PER and LOC
144,ఎల్ అండ్ టీ సంస్థ ముంబై లో ప్రధాన కార్యాలయం కలిగి ఉంది,"ఎల్ అండ్ టీ=ORG, ముంబై=LOC","ఎల్ అండ్ టీ=ORG, ముంబై=LOC",Clear ORG and LOC
145,హేమంత్ సోరెన్ జార్ఖండ్ ముఖ్యమంత్రి,"హేమంత్ సోరెన్=PER, జార్ఖండ్=LOC","హేమంత్ సోరెన్=PER, జార్ఖండ్=LOC",Clear PER and LOC
146,బెంగళూరులో ఐఐఎస్సీ భారతదేశంలో అగ్రగామి విశ్వవిద్యాలయం,"ఐఐఎస్సీ=ORG, బెంగళూరు=LOC","ఐఐఎస్సీ=ORG, బెంగళూరు=LOC",Clear ORG and LOC
147,సరోజినీ నాయుడు హైదరాబాద్ లో జన్మించారు,"సరోజినీ నాయుడు=PER, హైదరాబాద్=LOC","సరోజినీ నాయుడు=PER, హైదరాబాద్=LOC",Clear PER and LOC
148,స్పైస్ జెట్ సంస్థ ఢిల్లీ నుండి కార్యకలాపాలు నిర్వహిస్తుంది,"స్పైస్ జెట్=ORG, ఢిల్లీ=LOC","స్పైస్ జెట్=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
149,భూపేష్ బఘేల్ కాంగ్రెస్ నేత,"భూపేష్ బఘేల్=PER, కాంగ్రెస్=ORG","భూపేష్ బఘేల్=PER, కాంగ్రెస్=ORG",Clear PER and ORG
150,ఆయుష్మాన్ ఖురానా బాలీవుడ్ నటుడు,ఆయుష్మాన్ ఖురానా=PER,ఆయుష్మాన్ ఖురానా=PER,Only PER
151,నేషనల్ థర్మల్ పవర్ కార్పొరేషన్ ఢిల్లీలో నమోదైంది,"నేషనల్ థర్మల్ పవర్ కార్పొరేషన్=ORG, ఢిల్లీ=LOC","నేషనల్ థర్మల్ పవర్ కార్పొరేషన్=ORG, ఢిల్లీ=LOC",Full form as ORG
152,మురళి విజయ్ తమిళనాడు కు చెందిన క్రికెటర్,"మురళి విజయ్=PER, తమిళనాడు=LOC","మురళి విజయ్=PER, తమిళనాడు=LOC",Clear PER and LOC
153,ఇంఫోసిస్ మైసూరులో శిక్షణ కేంద్రం నిర్వహిస్తుంది,"ఇంఫోసిస్=ORG, మైసూరు=LOC","ఇంఫోసిస్=ORG, మైసూరు=LOC",Clear ORG and LOC
154,శశి థరూర్ కాంగ్రెస్ పార్టీ ప్రముఖ నాయకుడు,"శశి థరూర్=PER, కాంగ్రెస్ పార్టీ=ORG","శశి థరూర్=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
155,తుంగభద్ర నది కర్ణాటకలో ప్రవహిస్తుంది,"తుంగభద్ర నది=LOC, కర్ణాటక=LOC","తుంగభద్ర=LOC, కర్ణాటక=LOC",Disagreement: నది as part of span or not
156,జ్ఞానేశ్వర్ ముక్తిబోధ్ మహారాష్ట్ర నుండి రాజ్యసభ సభ్యుడు,"జ్ఞానేశ్వర్ ముక్తిబోధ్=PER, మహారాష్ట్ర=LOC","జ్ఞానేశ్వర్ ముక్తిబోధ్=PER, మహారాష్ట్ర=LOC",Clear PER and LOC
157,అపోలో హాస్పిటల్స్ చెన్నైలో స్థాపించబడింది,"అపోలో హాస్పిటల్స్=ORG, చెన్నై=LOC","అపోలో హాస్పిటల్స్=ORG, చెన్నై=LOC",Clear ORG and LOC
158,ప్రభాస్ నల్లమల అడవుల సమీపంలో నివసించేవారు,"ప్రభాస్=PER, నల్లమల=LOC","ప్రభాస్=PER, నల్లమల=LOC",Clear PER and LOC
159,ఒఎన్జీసీ సంస్థ ముంబై అఫ్ షోర్ లో చమురు తీస్తుంది,"ఒఎన్జీసీ=ORG, ముంబై=LOC","ఒఎన్జీసీ=ORG, ముంబై=LOC",Abbreviation as ORG
160,సిద్ధరామయ్య కర్ణాటక ముఖ్యమంత్రి,"సిద్ధరామయ్య=PER, కర్ణాటక=LOC","సిద్ధరామయ్య=PER, కర్ణాటక=LOC",Clear PER and LOC
161,టాటా స్టీల్ జమ్షెడ్పూర్ లో ఉక్కు ఉత్పత్తి చేస్తుంది,"టాటా స్టీల్=ORG, జమ్షెడ్పూర్=LOC","టాటా స్టీల్=ORG, జమ్షెడ్పూర్=LOC",Clear ORG and LOC
162,రాజ్నాథ్ సింగ్ బీజేపీ సీనియర్ నాయకుడు,"రాజ్నాథ్ సింగ్=PER, బీజేపీ=ORG","రాజ్నాథ్ సింగ్=PER, బీజేపీ=ORG",Clear PER and ORG
163,హుబ్లీ కర్ణాటకలో పారిశ్రామిక నగరం,"హుబ్లీ=LOC, కర్ణాటక=LOC","హుబ్లీ=LOC, కర్ణాటక=LOC",Two LOC entities
164,రంజిత్ సింహ్ ఛత్రపతి సంభాజీ నగర్ నుండి ఎన్నికయ్యారు,"రంజిత్ సింహ్=PER, సంభాజీ నగర్=LOC","రంజిత్ సింహ్=PER, సంభాజీ నగర్=LOC",Clear PER and LOC
165,ఆంధ్రా బ్యాంక్ విజయవాడలో స్థాపించబడింది,"ఆంధ్రా బ్యాంక్=ORG, విజయవాడ=LOC","ఆంధ్రా బ్యాంక్=ORG, విజయవాడ=LOC",Clear ORG and LOC
166,ప్రీతి జింటా పంజాబ్ కింగ్స్ జట్టు యజమాని,"ప్రీతి జింటా=PER, పంజాబ్ కింగ్స్=ORG","ప్రీతి జింటా=PER, పంజాబ్ కింగ్స్=ORG",Clear PER and ORG
167,ఇండియన్ స్పేస్ రీసెర్చ్ ఆర్గనైజేషన్ శ్రీహరికోటలో రాకెట్లు ప్రయోగిస్తుంది,"ఇండియన్ స్పేస్ రీసెర్చ్ ఆర్గనైజేషన్=ORG, శ్రీహరికోట=LOC","ఇండియన్ స్పేస్ రీసెర్చ్ ఆర్గనైజేషన్=ORG, శ్రీహరికోట=LOC",Clear ORG and LOC
168,ఆనంద్ మహీంద్రా మహీంద్రా గ్రూప్ అధినేత,"ఆనంద్ మహీంద్రా=PER, మహీంద్రా గ్రూప్=ORG","ఆనంద్ మహీంద్రా=PER, మహీంద్రా గ్రూప్=ORG",Clear PER and ORG
169,నాగార్జున సాగర్ డ్యామ్ నల్గొండ జిల్లాలో ఉంది,"నాగార్జున సాగర్=LOC, నల్గొండ=LOC","నాగార్జున సాగర్=LOC, నల్గొండ=LOC",Two LOC entities
170,లోక్ సభ స్పీకర్ ఓం బిర్లా రాజస్థాన్ నుండి ఎన్నికయ్యారు,"ఓం బిర్లా=PER, లోక్ సభ=ORG, రాజస్థాన్=LOC","ఓం బిర్లా=PER, రాజస్థాన్=LOC",Disagreement: లోక్ సభ as ORG or not
171,కన్హయ్య కుమార్ సీపీఐ నాయకుడు,"కన్హయ్య కుమార్=PER, సీపీఐ=ORG","కన్హయ్య కుమార్=PER, సీపీఐ=ORG",Clear PER and ORG
172,ప్రతిభా పాటిల్ పుణె కు చెందినవారు,"ప్రతిభా పాటిల్=PER, పుణె=LOC","ప్రతిభా పాటిల్=PER, పుణె=LOC",Clear PER and LOC
173,హైదరాబాద్ రాజ్యం నిజాం పాలనలో ఉండేది,హైదరాబాద్=LOC,హైదరాబాద్=LOC,Only LOC
174,విక్రమ్ సారాభాయ్ ఇస్రో వ్యవస్థాపకుడు,"విక్రమ్ సారాభాయ్=PER, ఇస్రో=ORG","విక్రమ్ సారాభాయ్=PER, ఇస్రో=ORG",Clear PER and ORG
175,డీఎల్ఎఫ్ సంస్థ గుర్గావ్ లో రియల్ ఎస్టేట్ నిర్వహిస్తుంది,"డీఎల్ఎఫ్=ORG, గుర్గావ్=LOC","డీఎల్ఎఫ్=ORG, గుర్గావ్=LOC",Clear ORG and LOC
176,చంద్రికా ప్రసాద్ శ్రీవాస్తవ ఐఎంవో అధ్యక్షుడు,"చంద్రికా ప్రసాద్ శ్రీవాస్తవ=PER, ఐఎంవో=ORG","చంద్రికా ప్రసాద్ శ్రీవాస్తవ=PER, ఐఎంవో=ORG",Clear PER and ORG
177,వేంపటి చినసత్యం కూచిపూడి నృత్యకారుడు,"వేంపటి చినసత్యం=PER, కూచిపూడి=LOC","వేంపటి చినసత్యం=PER, కూచిపూడి=LOC",LOC is name of dance form origin place
178,స్టీల్ అథారిటీ ఆఫ్ ఇండియా ఢిల్లీలో నమోదైంది,"స్టీల్ అథారిటీ ఆఫ్ ఇండియా=ORG, ఢిల్లీ=LOC","స్టీల్ అథారిటీ ఆఫ్ ఇండియా=ORG, ఢిల్లీ=LOC",Clear ORG and LOC
179,ఎన్ చంద్రబాబు నాయుడు తెలుగు దేశం పార్టీ నాయకుడు,"ఎన్ చంద్రబాబు నాయుడు=PER, తెలుగు దేశం పార్టీ=ORG","ఎన్ చంద్రబాబు నాయుడు=PER, తెలుగు దేశం పార్టీ=ORG",Clear PER and ORG
180,గోదావరి నది రాజమహేంద్రవరం వద్ద సముద్రంలో కలుస్తుంది,"గోదావరి నది=LOC, రాజమహేంద్రవరం=LOC","గోదావరి=LOC, రాజమహేంద్రవరం=LOC",Disagreement: గోదావరి నది vs గోదావరి as span
181,సోనీ మ్యూజిక్ ముంబైలో భారత కార్యకలాపాలు నిర్వహిస్తుంది,"సోనీ మ్యూజిక్=ORG, ముంబై=LOC","సోనీ మ్యూజిక్=ORG, ముంబై=LOC",Clear ORG and LOC
182,సురేష్ ప్రభు రైల్వే మంత్రిగా పనిచేశారు,సురేష్ ప్రభు=PER,సురేష్ ప్రభు=PER,Only PER
183,అమృత్ సర్ పంజాబ్ లోని పవిత్ర నగరం,"అమృత్ సర్=LOC, పంజాబ్=LOC","అమృత్ సర్=LOC, పంజాబ్=LOC",Two LOC entities
184,నీలం సంజీవ రెడ్డి భారత రాష్ట్రపతి,"నీలం సంజీవ రెడ్డి=PER, భారత=LOC",నీలం సంజీవ రెడ్డి=PER,Disagreement: భారత as LOC or not
185,బయోకాన్ సంస్థ బెంగళూరులో జీవ ఔషధాలు తయారు చేస్తుంది,"బయోకాన్=ORG, బెంగళూరు=LOC","బయోకాన్=ORG, బెంగళూరు=LOC",Clear ORG and LOC
186,ఎంఎస్ స్వామినాథన్ వ్యవసాయ శాస్త్రవేత్త,ఎంఎస్ స్వామినాథన్=PER,ఎంఎస్ స్వామినాథన్=PER,Only PER
187,పెన్ స్టేషన్ సురత్ లో కొత్తగా నిర్మించారు,సురత్=LOC,సురత్=LOC,Only LOC
188,రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్ హైదరాబాద్ లో ఉంది,"రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్=ORG, హైదరాబాద్=LOC","రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్=ORG, హైదరాబాద్=LOC",Airport name as ORG
189,అమర్ సింగ్ చంపాయ్ జార్ఖండ్ రాజకీయ నాయకుడు,"అమర్ సింగ్ చంపాయ్=PER, జార్ఖండ్=LOC","అమర్ సింగ్ చంపాయ్=PER, జార్ఖండ్=LOC",Clear PER and LOC
190,కోకో కోలా సంస్థ భారతదేశంలో పుణె లో ఉత్పత్తి కేంద్రం నిర్వహిస్తుంది,"కోకో కోలా=ORG, పుణె=LOC","కోకో కోలా=ORG, పుణె=LOC",Clear ORG and LOC
191,పి కె కురియన్ కేరళ నుండి రాజ్యసభ సభ్యుడు,"పి కె కురియన్=PER, కేరళ=LOC","పి కె కురియన్=PER, కేరళ=LOC",Clear PER and LOC
192,హిందుస్తాన్ ఏరోనాటిక్స్ లిమిటెడ్ బెంగళూరులో యుద్ధ విమానాలు తయారు చేస్తుంది,"హిందుస్తాన్ ఏరోనాటిక్స్ లిమిటెడ్=ORG, బెంగళూరు=LOC","హిందుస్తాన్ ఏరోనాటిక్స్ లిమిటెడ్=ORG, బెంగళూరు=LOC",Clear ORG and LOC
193,కిశోర్ కుమార్ ఖండ్వా లో జన్మించారు,"కిశోర్ కుమార్=PER, ఖండ్వా=LOC","కిశోర్ కుమార్=PER, ఖండ్వా=LOC",Clear PER and LOC
194,ఇండిగో ఎయిర్ లైన్స్ హైదరాబాద్ నుండి ముంబై కు విమానాలు నడిపిస్తుంది,"ఇండిగో=ORG, హైదరాబాద్=LOC, ముంబై=LOC","ఇండిగో=ORG, హైదరాబాద్=LOC, ముంబై=LOC",ORG with two LOC
195,వసుంధరా రాజే రాజస్థాన్ ముఖ్యమంత్రిగా పనిచేశారు,"వసుంధరా రాజే=PER, రాజస్థాన్=LOC","వసుంధరా రాజే=PER, రాజస్థాన్=LOC",Clear PER and LOC
196,ఫోర్టిస్ హాస్పిటల్స్ గుర్గావ్ లో ఉంది,"ఫోర్టిస్ హాస్పిటల్స్=ORG, గుర్గావ్=LOC","ఫోర్టిస్ హాస్పిటల్స్=ORG, గుర్గావ్=LOC",Clear ORG and LOC
197,ఎ రాజా డీఎంకె పార్టీకి చెందిన నాయకుడు,"ఎ రాజా=PER, డీఎంకె=ORG","ఎ రాజా=PER, డీఎంకె=ORG",Clear PER and ORG
198,గుంటూరు ఆంధ్రప్రదేశ్ లో మిరపకాయలకు ప్రసిద్ధి,"గుంటూరు=LOC, ఆంధ్రప్రదేశ్=LOC","గుంటూరు=LOC, ఆంధ్రప్రదేశ్=LOC",Two LOC entities
199,ఆర్ అశ్విన్ తమిళనాడు కు చెందిన క్రికెటర్,"ఆర్ అశ్విన్=PER, తమిళనాడు=LOC","ఆర్ అశ్విన్=PER, తమిళనాడు=LOC",Clear PER and LOC
200,మేఘన రాజకుమారి బ్రిటన్ రాజ పరివారంలో చేరారు,"మేఘన=PER, బ్రిటన్=LOC","మేఘన=PER, బ్రిటన్=LOC",Clear PER and LOC
201,పేటీఎం పేమెంట్స్ బ్యాంక్ నోయిడా లో కార్యకలాపాలు నిర్వహించేది,"పేటీఎం పేమెంట్స్ బ్యాంక్=ORG, నోయిడా=LOC","పేటీఎం పేమెంట్స్ బ్యాంక్=ORG, నోయిడా=LOC",Clear ORG and LOC
202,ఎన్ఆర్ నారాయణ మూర్తి ఇన్ఫోసిస్ కో-ఫౌండర్,"ఎన్ఆర్ నారాయణ మూర్తి=PER, ఇన్ఫోసిస్=ORG","ఎన్ఆర్ నారాయణ మూర్తి=PER, ఇన్ఫోసిస్=ORG",Clear PER and ORG
203,పిన్నమనేని చంద్రశేఖర్ మచిలీపట్నం నుండి ఎన్నికయ్యారు,"పిన్నమనేని చంద్రశేఖర్=PER, మచిలీపట్నం=LOC","పిన్నమనేని చంద్రశేఖర్=PER, మచిలీపట్నం=LOC",Clear PER and LOC
204,నైనా లాల్ కిద్వాయ్ ఎచ్ఎస్బీసీ బ్యాంక్ ఇండియా అధ్యక్షురాలు,"నైనా లాల్ కిద్వాయ్=PER, ఎచ్ఎస్బీసీ=ORG","నైనా లాల్ కిద్వాయ్=PER, ఎచ్ఎస్బీసీ=ORG",Clear PER and ORG
205,సికింద్రాబాద్ హైదరాబాద్ కు పక్కనే ఉన్న నగరం,"సికింద్రాబాద్=LOC, హైదరాబాద్=LOC","సికింద్రాబాద్=LOC, హైదరాబాద్=LOC",Two LOC entities
206,ఝార్ఖండ్ ముక్తి మోర్చా జార్ఖండ్ లో అధికారంలో ఉంది,"ఝార్ఖండ్ ముక్తి మోర్చా=ORG, జార్ఖండ్=LOC","ఝార్ఖండ్ ముక్తి మోర్చా=ORG, జార్ఖండ్=LOC",Clear ORG and LOC
207,అనిల్ కపూర్ ముంబైలో నివసిస్తారు,"అనిల్ కపూర్=PER, ముంబై=LOC","అనిల్ కపూర్=PER, ముంబై=LOC",Clear PER and LOC
208,ఏఆర్ రెహమాన్ చెన్నైకి చెందిన సంగీతకారుడు,"ఏఆర్ రెహమాన్=PER, చెన్నై=LOC","ఏఆర్ రెహమాన్=PER, చెన్నై=LOC",Clear PER and LOC
209,జాతీయ రక్షా అకాడమీ పుణె సమీపంలో ఉంది,"జాతీయ రక్షా అకాడమీ=ORG, పుణె=LOC","జాతీయ రక్షా అకాడమీ=ORG, పుణె=LOC",Clear ORG and LOC
210,శరద్ పవార్ నేషనలిస్ట్ కాంగ్రెస్ పార్టీ వ్యవస్థాపకుడు,"శరద్ పవార్=PER, నేషనలిస్ట్ కాంగ్రెస్ పార్టీ=ORG","శరద్ పవార్=PER, నేషనలిస్ట్ కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
211,బ్రహ్మోస్ క్షిపణి భారత రష్యా సంయుక్త సంస్థ తయారు చేస్తుంది,"బ్రహ్మోస్=ORG, భారత=LOC, రష్యా=LOC","బ్రహ్మోస్=ORG, రష్యా=LOC",Disagreement: భారత as LOC or not
212,ఉజ్జయిని మధ్యప్రదేశ్ లో పవిత్ర నగరం,"ఉజ్జయిని=LOC, మధ్యప్రదేశ్=LOC","ఉజ్జయిని=LOC, మధ్యప్రదేశ్=LOC",Two LOC entities
213,ఆర్ఎస్ఎస్ నాగ్పూర్ లో స్థాపించబడింది,"ఆర్ఎస్ఎస్=ORG, నాగ్పూర్=LOC","ఆర్ఎస్ఎస్=ORG, నాగ్పూర్=LOC",Abbreviation as ORG
214,ధోని ముంబై ఇండియన్స్ తో ఆడలేదు,"ధోని=PER, ముంబై ఇండియన్స్=ORG","ధోని=PER, ముంబై ఇండియన్స్=ORG",Clear PER and ORG
215,ఆచార్య నాగార్జున విశ్వవిద్యాలయం గుంటూరులో ఉంది,"ఆచార్య నాగార్జున విశ్వవిద్యాలయం=ORG, గుంటూరు=LOC","ఆచార్య నాగార్జున విశ్వవిద్యాలయం=ORG, గుంటూరు=LOC",Clear ORG and LOC
216,ఐఐటీ ఖరగ్పూర్ పశ్చిమ బెంగాల్ లో ఉంది,"ఐఐటీ ఖరగ్పూర్=ORG, పశ్చిమ బెంగాల్=LOC","ఐఐటీ ఖరగ్పూర్=ORG, పశ్చిమ బెంగాల్=LOC",Clear ORG and LOC
217,అమితాబ్ బచ్చన్ బాలీవుడ్ లెజెండ్,అమితాబ్ బచ్చన్=PER,అమితాబ్ బచ్చన్=PER,Only PER
218,నర్సాపురం ఆంధ్రప్రదేశ్ లో లేస్ పరిశ్రమకు ప్రసిద్ధి,"నర్సాపురం=LOC, ఆంధ్రప్రదేశ్=LOC","నర్సాపురం=LOC, ఆంధ్రప్రదేశ్=LOC",Two LOC entities
219,పురుషోత్తమ్ దాస్ టండన్ కాంగ్రెస్ పార్టీ నాయకుడు,"పురుషోత్తమ్ దాస్ టండన్=PER, కాంగ్రెస్ పార్టీ=ORG","పురుషోత్తమ్ దాస్ టండన్=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
220,ఈస్టర్న్ కోల్ ఫీల్డ్స్ లిమిటెడ్ పశ్చిమ బెంగాల్ లో బొగ్గు తీస్తుంది,"ఈస్టర్న్ కోల్ ఫీల్డ్స్ లిమిటెడ్=ORG, పశ్చిమ బెంగాల్=LOC","ఈస్టర్న్ కోల్ ఫీల్డ్స్ లిమిటెడ్=ORG, పశ్చిమ బెంగాల్=LOC",Clear ORG and LOC
221,దిలీప్ కుమార్ పేషావర్ లో జన్మించారు,"దిలీప్ కుమార్=PER, పేషావర్=LOC","దిలీప్ కుమార్=PER, పేషావర్=LOC",Clear PER and LOC
222,అల్ట్రా టెక్ సిమెంట్ ముంబై లో ప్రధాన కార్యాలయం కలిగి ఉంది,"అల్ట్రా టెక్ సిమెంట్=ORG, ముంబై=LOC","అల్ట్రా టెక్ సిమెంట్=ORG, ముంబై=LOC",Clear ORG and LOC
223,అరుణాచలం మురుగనంతం సోషల్ ఎంటర్ప్రెన్యూర్,అరుణాచలం మురుగనంతం=PER,అరుణాచలం మురుగనంతం=PER,Only PER
224,ఆంధ్రప్రదేశ్ పారిశ్రామిక అభివృద్ధి సంస్థ విజయవాడ లో ఉంది,"ఆంధ్రప్రదేశ్ పారిశ్రామిక అభివృద్ధి సంస్థ=ORG, విజయవాడ=LOC","ఆంధ్రప్రదేశ్ పారిశ్రామిక అభివృద్ధి సంస్థ=ORG, విజయవాడ=LOC",Clear ORG and LOC
225,అసదుద్దీన్ ఒవైసీ హైదరాబాద్ నుండి లోక్ సభ సభ్యుడు,"అసదుద్దీన్ ఒవైసీ=PER, హైదరాబాద్=LOC, లోక్ సభ=ORG","అసదుద్దీన్ ఒవైసీ=PER, హైదరాబాద్=LOC",Disagreement: లోక్ సభ as ORG or not
226,తాతా పవర్ సంస్థ ముంబైలో పనిచేస్తుంది,"తాతా పవర్=ORG, ముంబై=LOC","తాతా పవర్=ORG, ముంబై=LOC",Clear ORG and LOC
